timestamp	player	team	role	selection
8/17/2021 13:59:02	Valentine	BOS	DPS	second_team
8/17/2021 13:59:02	Faith	BOS	MS	second_team
8/17/2021 13:59:02	Mmonk	CDH	FS	second_team
8/17/2021 13:59:02	MuZe	LAG	MT	second_team
8/17/2021 13:59:02	Vestola	PAR	OT	second_team
8/17/2021 13:59:02	Aspire	TOR	DPS	second_team
8/17/2021 13:59:07	Pelican	ATL	DPS	first_team
8/17/2021 13:59:07	Ga9a	CDH	MT	first_team
8/17/2021 13:59:07	Piggy	HOU	OT	first_team
8/17/2021 13:59:07	Shy	HZS	DPS	first_team
8/17/2021 13:59:07	Skewed	LAG	MS/FS	first_team
8/17/2021 13:59:07	Kaan	PAR	FS	first_team
8/17/2021 13:59:07	Mmonk	CDH	FS	second_team
8/17/2021 13:59:07	Nisha	CDH	MS	second_team
8/17/2021 13:59:07	ChoiSehwan	GZC	DPS	second_team
8/17/2021 13:59:07	Daan	PAR	MT	second_team
8/17/2021 13:59:07	Vestola	PAR	OT	second_team
8/17/2021 13:59:07	Aspire	TOR	DPS	second_team
8/17/2021 14:00:22	Pelican	ATL	DPS	first_team
8/17/2021 14:00:22	Mmonk	CDH	FS	first_team
8/17/2021 14:00:22	Ga9a	CDH	MT	first_team
8/17/2021 14:00:22	Nisha	CDH	MS	first_team
8/17/2021 14:00:22	Piggy	HOU	OT	first_team
8/17/2021 14:00:22	Flora	NYXL	DPS	first_team
8/17/2021 14:00:22	Shy	HZS	DPS	second_team
8/17/2021 14:00:22	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:00:22	Friday	NYXL	MS	second_team
8/17/2021 14:00:22	Kaan	PAR	FS	second_team
8/17/2021 14:00:22	Vestola	PAR	OT	second_team
8/17/2021 14:00:22	Mag	WAS	MT	second_team
8/17/2021 14:00:29	Pelican	ATL	DPS	first_team
8/17/2021 14:00:29	Faith	BOS	MS	first_team
8/17/2021 14:00:29	Piggy	HOU	OT	first_team
8/17/2021 14:00:29	Kaan	PAR	FS	first_team
8/17/2021 14:00:29	Aspire	TOR	DPS	first_team
8/17/2021 14:00:29	Mag	WAS	MT	first_team
8/17/2021 14:00:29	Mmonk	CDH	FS	second_team
8/17/2021 14:00:29	Shy	HZS	DPS	second_team
8/17/2021 14:00:29	MuZe	LAG	MT	second_team
8/17/2021 14:00:29	Flora	NYXL	DPS	second_team
8/17/2021 14:00:29	Vestola	PAR	OT	second_team
8/17/2021 14:00:29	Dridro	PAR	MS	second_team
8/17/2021 14:03:30	Pelican	ATL	DPS	first_team
8/17/2021 14:03:30	Piggy	HOU	OT	first_team
8/17/2021 14:03:30	Shy	HZS	DPS	first_team
8/17/2021 14:03:30	Skewed	LAG	MS/FS	first_team
8/17/2021 14:03:30	MuZe	LAG	MT	first_team
8/17/2021 14:03:30	Kaan	PAR	FS	first_team
8/17/2021 14:03:30	Mmonk	CDH	FS	second_team
8/17/2021 14:03:30	Ga9a	CDH	MT	second_team
8/17/2021 14:03:30	Nisha	CDH	MS	second_team
8/17/2021 14:03:30	Flora	NYXL	DPS	second_team
8/17/2021 14:03:30	Vestola	PAR	OT	second_team
8/17/2021 14:03:30	Aspire	TOR	DPS	second_team
8/17/2021 14:04:31	Pelican	ATL	DPS	first_team
8/17/2021 14:04:31	Mmonk	CDH	FS	first_team
8/17/2021 14:04:31	Piggy	HOU	OT	first_team
8/17/2021 14:04:31	Shy	HZS	DPS	first_team
8/17/2021 14:04:31	Skewed	LAG	MS/FS	first_team
8/17/2021 14:04:31	MuZe	LAG	MT	first_team
8/17/2021 14:04:31	Gaebullssi	BOS	OT	second_team
8/17/2021 14:04:31	Ga9a	CDH	MT	second_team
8/17/2021 14:04:31	Jimmy	CDH	DPS	second_team
8/17/2021 14:04:31	Nisha	CDH	MS	second_team
8/17/2021 14:04:31	Farway1987	CDH	FS	second_team
8/17/2021 14:04:31	Assassin	WAS	DPS	second_team
8/17/2021 14:06:08	Pelican	ATL	DPS	first_team
8/17/2021 14:06:08	Mmonk	CDH	FS	first_team
8/17/2021 14:06:08	Ga9a	CDH	MT	first_team
8/17/2021 14:06:08	Shy	HZS	DPS	first_team
8/17/2021 14:06:08	Flora	NYXL	DPS	first_team
8/17/2021 14:06:08	Kaan	PAR	FS	first_team
8/17/2021 14:06:08	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:06:08	Piggy	HOU	OT	second_team
8/17/2021 14:06:08	Skewed	LAG	MS/FS	second_team
8/17/2021 14:06:08	MuZe	LAG	MT	second_team
8/17/2021 14:06:08	Naga	PAR	DPS	second_team
8/17/2021 14:06:08	Ansoonjae	TOR	MS	second_team
8/17/2021 14:09:33	Pelican	ATL	DPS	first_team
8/17/2021 14:09:33	Mmonk	CDH	FS	first_team
8/17/2021 14:09:33	Nisha	CDH	MS	first_team
8/17/2021 14:09:33	JJANGGU	HOU	MT	first_team
8/17/2021 14:09:33	Piggy	HOU	OT	first_team
8/17/2021 14:09:33	Shy	HZS	DPS	first_team
8/17/2021 14:09:33	Ga9a	CDH	MT	second_team
8/17/2021 14:09:33	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:09:33	Skewed	LAG	MS/FS	second_team
8/17/2021 14:09:33	Flora	NYXL	DPS	second_team
8/17/2021 14:09:33	Kaan	PAR	FS	second_team
8/17/2021 14:09:33	Vestola	PAR	OT	second_team
8/17/2021 14:10:20	Pelican	ATL	DPS	first_team
8/17/2021 14:10:20	Ga9a	CDH	MT	first_team
8/17/2021 14:10:20	Piggy	HOU	OT	first_team
8/17/2021 14:10:20	Shy	HZS	DPS	first_team
8/17/2021 14:10:20	Skewed	LAG	MS/FS	first_team
8/17/2021 14:10:20	Kaan	PAR	FS	first_team
8/17/2021 14:10:20	Mmonk	CDH	FS	second_team
8/17/2021 14:10:20	MuZe	LAG	MT	second_team
8/17/2021 14:10:20	Vestola	PAR	OT	second_team
8/17/2021 14:10:20	Dridro	PAR	MS	second_team
8/17/2021 14:10:20	Naga	PAR	DPS	second_team
8/17/2021 14:10:20	Aspire	TOR	DPS	second_team
8/17/2021 14:16:14	Pelican	ATL	DPS	first_team
8/17/2021 14:16:14	Mmonk	CDH	FS	first_team
8/17/2021 14:16:14	Ga9a	CDH	MT	first_team
8/17/2021 14:16:14	ChoiSehwan	GZC	DPS	first_team
8/17/2021 14:16:14	Piggy	HOU	OT	first_team
8/17/2021 14:16:14	Skewed	LAG	MS/FS	first_team
8/17/2021 14:16:14	Nisha	CDH	MS	second_team
8/17/2021 14:16:14	MuZe	LAG	MT	second_team
8/17/2021 14:16:14	Kaan	PAR	FS	second_team
8/17/2021 14:16:14	Vestola	PAR	OT	second_team
8/17/2021 14:16:14	Aspire	TOR	DPS	second_team
8/17/2021 14:16:14	Assassin	WAS	DPS	second_team
8/17/2021 14:17:09	Mmonk	CDH	FS	first_team
8/17/2021 14:17:09	Ga9a	CDH	MT	first_team
8/17/2021 14:17:09	Nisha	CDH	MS	first_team
8/17/2021 14:17:09	Shy	HZS	DPS	first_team
8/17/2021 14:17:09	Flora	NYXL	DPS	first_team
8/17/2021 14:17:09	Kaan	PAR	FS	first_team
8/17/2021 14:17:09	Piggy	HOU	OT	second_team
8/17/2021 14:17:09	Skewed	LAG	MS/FS	second_team
8/17/2021 14:17:09	MuZe	LAG	MT	second_team
8/17/2021 14:17:09	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:17:09	Vestola	PAR	OT	second_team
8/17/2021 14:17:09	Na1st	TOR	DPS	second_team
8/17/2021 14:17:43	Pelican	ATL	DPS	first_team
8/17/2021 14:17:43	Ga9a	CDH	MT	first_team
8/17/2021 14:17:43	Shy	HZS	DPS	first_team
8/17/2021 14:17:43	Skewed	LAG	MS/FS	first_team
8/17/2021 14:17:43	MuZe	LAG	MT	first_team
8/17/2021 14:17:43	Kaan	PAR	FS	first_team
8/17/2021 14:17:43	Valentine	BOS	DPS	second_team
8/17/2021 14:17:43	Mmonk	CDH	FS	second_team
8/17/2021 14:17:43	Nisha	CDH	MS	second_team
8/17/2021 14:17:43	JJANGGU	HOU	MT	second_team
8/17/2021 14:17:43	Piggy	HOU	OT	second_team
8/17/2021 14:17:43	Naga	PAR	DPS	second_team
8/17/2021 14:19:39	Pelican	ATL	DPS	first_team
8/17/2021 14:19:39	Mmonk	CDH	FS	first_team
8/17/2021 14:19:39	Ga9a	CDH	MT	first_team
8/17/2021 14:19:39	Nisha	CDH	MS	first_team
8/17/2021 14:19:39	Piggy	HOU	OT	first_team
8/17/2021 14:19:39	Shy	HZS	DPS	first_team
8/17/2021 14:19:39	JJANGGU	HOU	MT	second_team
8/17/2021 14:19:39	Kaan	PAR	FS	second_team
8/17/2021 14:19:39	Vestola	PAR	OT	second_team
8/17/2021 14:19:39	Dridro	PAR	MS	second_team
8/17/2021 14:19:39	Naga	PAR	DPS	second_team
8/17/2021 14:19:39	Assassin	WAS	DPS	second_team
8/17/2021 14:26:21	Pelican	ATL	DPS	first_team
8/17/2021 14:26:21	Mmonk	CDH	FS	first_team
8/17/2021 14:26:21	ChoiSehwan	GZC	DPS	first_team
8/17/2021 14:26:21	Shy	HZS	DPS	first_team
8/17/2021 14:26:21	Skewed	LAG	MS/FS	first_team
8/17/2021 14:26:21	Flora	NYXL	DPS	first_team
8/17/2021 14:26:21	Faith	BOS	MS	second_team
8/17/2021 14:26:21	Ga9a	CDH	MT	second_team
8/17/2021 14:26:21	Piggy	HOU	OT	second_team
8/17/2021 14:26:21	MuZe	LAG	MT	second_team
8/17/2021 14:26:21	Molanran	LAV	DPS	second_team
8/17/2021 14:26:21	Kaan	PAR	FS	second_team
8/17/2021 14:26:56	Pelican	ATL	DPS	first_team
8/17/2021 14:26:56	Ga9a	CDH	MT	first_team
8/17/2021 14:26:56	Nisha	CDH	MS	first_team
8/17/2021 14:26:56	Piggy	HOU	OT	first_team
8/17/2021 14:26:56	Shy	HZS	DPS	first_team
8/17/2021 14:26:56	Kaan	PAR	FS	first_team
8/17/2021 14:26:56	Mmonk	CDH	FS	second_team
8/17/2021 14:26:56	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:26:56	Skewed	LAG	MS/FS	second_team
8/17/2021 14:26:56	MuZe	LAG	MT	second_team
8/17/2021 14:26:56	Flora	NYXL	DPS	second_team
8/17/2021 14:26:56	Dridro	PAR	MS	second_team
8/17/2021 14:27:07	Pelican	ATL	DPS	first_team
8/17/2021 14:27:07	Ga9a	CDH	MT	first_team
8/17/2021 14:27:07	Piggy	HOU	OT	first_team
8/17/2021 14:27:07	Shy	HZS	DPS	first_team
8/17/2021 14:27:07	Skewed	LAG	MS/FS	first_team
8/17/2021 14:27:07	Kaan	PAR	FS	first_team
8/17/2021 14:27:07	Faith	BOS	MS	second_team
8/17/2021 14:27:07	Nisha	CDH	MS	second_team
8/17/2021 14:27:07	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:27:07	JJANGGU	HOU	MT	second_team
8/17/2021 14:27:07	Flora	NYXL	DPS	second_team
8/17/2021 14:27:07	Naga	PAR	DPS	second_team
8/17/2021 14:28:22	Pelican	ATL	DPS	first_team
8/17/2021 14:28:22	Ga9a	CDH	MT	first_team
8/17/2021 14:28:22	Nisha	CDH	MS	first_team
8/17/2021 14:28:22	Piggy	HOU	OT	first_team
8/17/2021 14:28:22	Skewed	LAG	MS/FS	first_team
8/17/2021 14:28:22	Kaan	PAR	FS	first_team
8/17/2021 14:28:22	Mmonk	CDH	FS	second_team
8/17/2021 14:28:22	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:28:22	Flora	NYXL	DPS	second_team
8/17/2021 14:28:22	Daan	PAR	MT	second_team
8/17/2021 14:28:22	Aspire	TOR	DPS	second_team
8/17/2021 14:28:22	Mag	WAS	MT	second_team
8/17/2021 14:31:33	Pelican	ATL	DPS	first_team
8/17/2021 14:31:33	Mmonk	CDH	FS	first_team
8/17/2021 14:31:33	Ga9a	CDH	MT	first_team
8/17/2021 14:31:33	Nisha	CDH	MS	first_team
8/17/2021 14:31:33	Piggy	HOU	OT	first_team
8/17/2021 14:31:33	Shy	HZS	DPS	first_team
8/17/2021 14:31:33	Gaebullssi	BOS	OT	second_team
8/17/2021 14:31:33	JJANGGU	HOU	MT	second_team
8/17/2021 14:31:33	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:31:33	Flora	NYXL	DPS	second_team
8/17/2021 14:31:33	Kaan	PAR	FS	second_team
8/17/2021 14:31:33	Ansoonjae	TOR	MS	second_team
8/17/2021 14:31:33	Pelican	ATL	DPS	first_team
8/17/2021 14:31:33	JJANGGU	HOU	MT	first_team
8/17/2021 14:31:33	Piggy	HOU	OT	first_team
8/17/2021 14:31:33	Flora	NYXL	DPS	first_team
8/17/2021 14:31:33	Kaan	PAR	FS	first_team
8/17/2021 14:31:33	Dridro	PAR	MS	first_team
8/17/2021 14:31:33	Valentine	BOS	DPS	second_team
8/17/2021 14:31:33	Faith	BOS	MS	second_team
8/17/2021 14:31:33	Mmonk	CDH	FS	second_team
8/17/2021 14:31:33	Ga9a	CDH	MT	second_team
8/17/2021 14:31:33	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:31:33	Vestola	PAR	OT	second_team
8/17/2021 14:38:08	Pelican	ATL	DPS	first_team
8/17/2021 14:38:08	Piggy	HOU	OT	first_team
8/17/2021 14:38:08	MuZe	LAG	MT	first_team
8/17/2021 14:38:08	Kaan	PAR	FS	first_team
8/17/2021 14:38:08	Dridro	PAR	MS	first_team
8/17/2021 14:38:08	Naga	PAR	DPS	first_team
8/17/2021 14:38:08	Mmonk	CDH	FS	second_team
8/17/2021 14:38:08	Ga9a	CDH	MT	second_team
8/17/2021 14:38:08	Nisha	CDH	MS	second_team
8/17/2021 14:38:08	Shy	HZS	DPS	second_team
8/17/2021 14:38:08	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:38:08	Vestola	PAR	OT	second_team
8/17/2021 14:38:51	Pelican	ATL	DPS	first_team
8/17/2021 14:38:51	Ga9a	CDH	MT	first_team
8/17/2021 14:38:51	Nisha	CDH	MS	first_team
8/17/2021 14:38:51	Piggy	HOU	OT	first_team
8/17/2021 14:38:51	Shy	HZS	DPS	first_team
8/17/2021 14:38:51	Kaan	PAR	FS	first_team
8/17/2021 14:38:51	Mmonk	CDH	FS	second_team
8/17/2021 14:38:51	Skewed	LAG	MS/FS	second_team
8/17/2021 14:38:51	MuZe	LAG	MT	second_team
8/17/2021 14:38:51	Flora	NYXL	DPS	second_team
8/17/2021 14:38:51	Vestola	PAR	OT	second_team
8/17/2021 14:38:51	Naga	PAR	DPS	second_team
8/17/2021 14:38:50	Pelican	ATL	DPS	first_team
8/17/2021 14:38:50	Mmonk	CDH	FS	first_team
8/17/2021 14:38:50	Ga9a	CDH	MT	first_team
8/17/2021 14:38:50	Nisha	CDH	MS	first_team
8/17/2021 14:38:50	Piggy	HOU	OT	first_team
8/17/2021 14:38:50	Shy	HZS	DPS	first_team
8/17/2021 14:38:50	Valentine	BOS	DPS	second_team
8/17/2021 14:38:50	Gaebullssi	BOS	OT	second_team
8/17/2021 14:38:50	JJANGGU	HOU	MT	second_team
8/17/2021 14:38:50	Flora	NYXL	DPS	second_team
8/17/2021 14:38:50	Kaan	PAR	FS	second_team
8/17/2021 14:38:50	Dridro	PAR	MS	second_team
8/17/2021 14:39:26	Pelican	ATL	DPS	first_team
8/17/2021 14:39:26	Ga9a	CDH	MT	first_team
8/17/2021 14:39:26	Nisha	CDH	MS	first_team
8/17/2021 14:39:26	Flora	NYXL	DPS	first_team
8/17/2021 14:39:26	Kaan	PAR	FS	first_team
8/17/2021 14:39:26	Vestola	PAR	OT	first_team
8/17/2021 14:39:26	Mmonk	CDH	FS	second_team
8/17/2021 14:39:26	Piggy	HOU	OT	second_team
8/17/2021 14:39:26	Shy	HZS	DPS	second_team
8/17/2021 14:39:26	MuZe	LAG	MT	second_team
8/17/2021 14:39:26	Dridro	PAR	MS	second_team
8/17/2021 14:39:26	Naga	PAR	DPS	second_team
8/17/2021 14:42:47	Pelican	ATL	DPS	first_team
8/17/2021 14:42:47	Ga9a	CDH	MT	first_team
8/17/2021 14:42:47	Nisha	CDH	MS	first_team
8/17/2021 14:42:47	ChoiSehwan	GZC	DPS	first_team
8/17/2021 14:42:47	Piggy	HOU	OT	first_team
8/17/2021 14:42:47	Kaan	PAR	FS	first_team
8/17/2021 14:42:47	Mmonk	CDH	FS	second_team
8/17/2021 14:42:47	JJANGGU	HOU	MT	second_team
8/17/2021 14:42:47	Flora	NYXL	DPS	second_team
8/17/2021 14:42:47	Vestola	PAR	OT	second_team
8/17/2021 14:42:47	Dridro	PAR	MS	second_team
8/17/2021 14:42:47	Naga	PAR	DPS	second_team
8/17/2021 14:43:30	Pelican	ATL	DPS	first_team
8/17/2021 14:43:30	Piggy	HOU	OT	first_team
8/17/2021 14:43:30	Shy	HZS	DPS	first_team
8/17/2021 14:43:30	Skewed	LAG	MS/FS	first_team
8/17/2021 14:43:30	MuZe	LAG	MT	first_team
8/17/2021 14:43:30	Kaan	PAR	FS	first_team
8/17/2021 14:43:30	Valentine	BOS	DPS	second_team
8/17/2021 14:43:30	Mmonk	CDH	FS	second_team
8/17/2021 14:43:30	Ga9a	CDH	MT	second_team
8/17/2021 14:43:30	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:43:30	Daan	PAR	MT	second_team
8/17/2021 14:43:30	Mag	WAS	MT	second_team
8/17/2021 14:46:48	Pelican	ATL	DPS	first_team
8/17/2021 14:46:48	Ga9a	CDH	MT	first_team
8/17/2021 14:46:48	Nisha	CDH	MS	first_team
8/17/2021 14:46:48	Piggy	HOU	OT	first_team
8/17/2021 14:46:48	Kaan	PAR	FS	first_team
8/17/2021 14:46:48	Aspire	TOR	DPS	first_team
8/17/2021 14:46:48	Gaebullssi	BOS	OT	second_team
8/17/2021 14:46:48	JJANGGU	HOU	MT	second_team
8/17/2021 14:46:48	Shy	HZS	DPS	second_team
8/17/2021 14:46:48	Skewed	LAG	MS/FS	second_team
8/17/2021 14:46:48	Dridro	PAR	MS	second_team
8/17/2021 14:46:48	Naga	PAR	DPS	second_team
8/17/2021 14:48:48	Pelican	ATL	DPS	first_team
8/17/2021 14:48:48	Ga9a	CDH	MT	first_team
8/17/2021 14:48:48	Nisha	CDH	MS	first_team
8/17/2021 14:48:48	Shy	HZS	DPS	first_team
8/17/2021 14:48:48	Kaan	PAR	FS	first_team
8/17/2021 14:48:48	Vestola	PAR	OT	first_team
8/17/2021 14:48:48	Mmonk	CDH	FS	second_team
8/17/2021 14:48:48	Piggy	HOU	OT	second_team
8/17/2021 14:48:48	Joobi	HOU	MS	second_team
8/17/2021 14:48:48	Daan	PAR	MT	second_team
8/17/2021 14:48:48	Naga	PAR	DPS	second_team
8/17/2021 14:48:48	Aspire	TOR	DPS	second_team
8/17/2021 14:49:14	Pelican	ATL	DPS	first_team
8/17/2021 14:49:14	Ga9a	CDH	MT	first_team
8/17/2021 14:49:14	ChoiSehwan	GZC	DPS	first_team
8/17/2021 14:49:14	Shy	HZS	DPS	first_team
8/17/2021 14:49:14	Gwangboong	NYXL	DPS	first_team
8/17/2021 14:49:14	Flora	NYXL	DPS	first_team
8/17/2021 14:49:14	Mmonk	CDH	FS	second_team
8/17/2021 14:49:14	Skewed	LAG	MS/FS	second_team
8/17/2021 14:49:14	Molanran	LAV	DPS	second_team
8/17/2021 14:49:14	Kaan	PAR	FS	second_team
8/17/2021 14:49:14	Naga	PAR	DPS	second_team
8/17/2021 14:49:14	Mag	WAS	MT	second_team
8/17/2021 14:53:16	Pelican	ATL	DPS	first_team
8/17/2021 14:53:16	Mmonk	CDH	FS	first_team
8/17/2021 14:53:16	Shy	HZS	DPS	first_team
8/17/2021 14:53:16	Skewed	LAG	MS/FS	first_team
8/17/2021 14:53:16	Flora	NYXL	DPS	first_team
8/17/2021 14:53:16	Kaan	PAR	FS	first_team
8/17/2021 14:53:16	Ga9a	CDH	MT	second_team
8/17/2021 14:53:16	ChoiSehwan	GZC	DPS	second_team
8/17/2021 14:53:16	Piggy	HOU	OT	second_team
8/17/2021 14:53:16	Daan	PAR	MT	second_team
8/17/2021 14:53:16	Vestola	PAR	OT	second_team
8/17/2021 14:53:16	Aspire	TOR	DPS	second_team
8/17/2021 14:54:20	Pelican	ATL	DPS	first_team
8/17/2021 14:54:20	Mmonk	CDH	FS	first_team
8/17/2021 14:54:20	Nisha	CDH	MS	first_team
8/17/2021 14:54:20	JJANGGU	HOU	MT	first_team
8/17/2021 14:54:20	Piggy	HOU	OT	first_team
8/17/2021 14:54:20	Shy	HZS	DPS	first_team
8/17/2021 14:54:20	Faith	BOS	MS	second_team
8/17/2021 14:54:20	Flora	NYXL	DPS	second_team
8/17/2021 14:54:20	Kaan	PAR	FS	second_team
8/17/2021 14:54:20	Vestola	PAR	OT	second_team
8/17/2021 14:54:20	Naga	PAR	DPS	second_team
8/17/2021 14:54:20	Mag	WAS	MT	second_team
8/17/2021 14:54:26	Pelican	ATL	DPS	first_team
8/17/2021 14:54:26	Ga9a	CDH	MT	first_team
8/17/2021 14:54:26	Flora	NYXL	DPS	first_team
8/17/2021 14:54:26	Kaan	PAR	FS	first_team
8/17/2021 14:54:26	Vestola	PAR	OT	first_team
8/17/2021 14:54:26	Ansoonjae	TOR	MS	first_team
8/17/2021 14:54:26	Mmonk	CDH	FS	second_team
8/17/2021 14:54:26	Jimmy	CDH	DPS	second_team
8/17/2021 14:54:26	Piggy	HOU	OT	second_team
8/17/2021 14:54:26	Joobi	HOU	MS	second_team
8/17/2021 14:54:26	Gwangboong	NYXL	DPS	second_team
8/17/2021 14:54:26	Changsik	VAN	MT	second_team
8/17/2021 14:55:13	Pelican	ATL	DPS	first_team
8/17/2021 14:55:13	Ga9a	CDH	MT	first_team
8/17/2021 14:55:13	Nisha	CDH	MS	first_team
8/17/2021 14:55:13	Piggy	HOU	OT	first_team
8/17/2021 14:55:13	Shy	HZS	DPS	first_team
8/17/2021 14:55:13	Kaan	PAR	FS	first_team
8/17/2021 14:55:13	Mmonk	CDH	FS	second_team
8/17/2021 14:55:13	JJANGGU	HOU	MT	second_team
8/17/2021 14:55:13	Vestola	PAR	OT	second_team
8/17/2021 14:55:13	Dridro	PAR	MS	second_team
8/17/2021 14:55:13	Naga	PAR	DPS	second_team
